GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ebookreader-backend,com.example.ebookreader.controller,TestController,88,3,10,0,18,1,7,1,2,1
ebookreader-backend,com.example.ebookreader.controller,UserBookController,353,3,16,0,76,1,19,1,11,1
ebookreader-backend,com.example.ebookreader.controller,WebSocketController,25,3,0,0,4,1,2,1,2,1
ebookreader-backend,com.example.ebookreader.controller,BookGraphQLController,241,9,20,0,47,4,26,1,16,1
ebookreader-backend,com.example.ebookreader.controller,UserController,248,3,18,0,46,1,15,1,6,1
ebookreader-backend,com.example.ebookreader.controller,BookController,40,6,0,0,9,3,5,1,5,1
ebookreader-backend,com.example.ebookreader.controller,AuthController,243,93,4,2,51,20,9,3,7,2
ebookreader-backend,com.example.ebookreader.controller,AdminController,142,6,2,0,32,3,15,1,14,1
ebookreader-backend,com.example.ebookreader.exception,GlobalExceptionHandler,226,3,0,0,35,1,5,1,5,1
ebookreader-backend,com.example.ebookreader.exception,UnauthorizedException,0,4,0,0,0,2,0,1,0,1
ebookreader-backend,com.example.ebookreader.exception,BadRequestException,4,0,0,0,2,0,1,0,1,0
ebookreader-backend,com.example.ebookreader.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
ebookreader-backend,com.example.ebookreader.exception,ForbiddenException,4,0,0,0,2,0,1,0,1,0
ebookreader-backend,com.example.ebookreader.service.impl,BookServiceImpl,83,18,8,0,20,6,10,3,6,3
ebookreader-backend,com.example.ebookreader.service.impl,AdminServiceImpl,370,12,36,0,74,5,38,1,20,1
ebookreader-backend,com.example.ebookreader,EbookreaderApplication,5,3,0,0,2,1,1,1,1,1
ebookreader-backend,com.example.ebookreader,PasswordHasher,31,0,0,0,9,0,2,0,2,0
ebookreader-backend,com.example.ebookreader.service,UserService,46,8,6,0,8,2,5,1,2,1
ebookreader-backend,com.example.ebookreader.service,CustomUserDetailsService,103,3,0,0,20,1,6,1,6,1
ebookreader-backend,com.example.ebookreader.model,User,29,37,0,0,11,15,4,10,4,10
ebookreader-backend,com.example.ebookreader.model,Book,24,14,0,0,7,4,7,4,7,4
ebookreader-backend,com.example.ebookreader.model,UserBook,35,10,0,0,15,4,10,1,10,1
ebookreader-backend,com.example.ebookreader.model,Chapter,35,3,0,0,10,1,10,1,10,1
ebookreader-backend,com.example.ebookreader.config,WebSocketConfig,0,40,0,0,0,6,0,3,0,3
ebookreader-backend,com.example.ebookreader.config,JwtUtil,221,103,12,0,62,26,15,3,9,3
ebookreader-backend,com.example.ebookreader.config,WebConfig,0,90,0,0,0,15,0,4,0,4
ebookreader-backend,com.example.ebookreader.config,JwtFilter,162,45,27,1,39,15,14,2,0,2
ebookreader-backend,com.example.ebookreader.config,JwtAuthenticationFilter,132,15,29,1,32,5,16,2,1,2
ebookreader-backend,com.example.ebookreader.config,SecurityConfig,0,223,0,0,0,33,0,10,0,10
ebookreader-backend,com.example.ebookreader.util,TestEncoder,13,0,0,0,4,0,2,0,2,0
ebookreader-backend,com.example.ebookreader.dto,ChapterDTO,69,0,2,0,22,0,12,0,11,0
ebookreader-backend,com.example.ebookreader.dto,RegisterRequest,24,0,0,0,10,0,7,0,7,0
ebookreader-backend,com.example.ebookreader.dto,LoginRequest,0,17,0,0,0,7,0,5,0,5
